Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI A,"215,000,000,000",6.7,9 Sep 2021,8 Sep 2024
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI B,"215,000,000,000",7.1,9 Sep 2021,8 Sep 2026
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI C,"52,000,000,000",8.0,9 Sep 2021,8 Sep 2028
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI D,"14,000,000,000",8.6,9 Sep 2021,8 Sep 2031
SUKUK IJARAH BERKELANJUTAN I BALI TOWERINDO SENTRA TAHAP I TAHUN 2022 SERI B,"21,000,000,000",9.75,19 Sep 2022,16 Sep 2025
SUKUK IJARAH BERKELANJUTAN I BALI TOWERINDO SENTRA TAHAP II TAHUN 2023,"425,000,000,000",7.65,12 Sep 2023,21 Oct 2024
SUKUK IJARAH BERKELANJUTAN I BUMI SERPONG DAMAI TAHAP I TAHUN 2022 SERI A,"63,500,000,000",6.75,8 Apr 2022,7 Apr 2025
SUKUK IJARAH BERKELANJUTAN I BUMI SERPONG DAMAI TAHAP I TAHUN 2022 SERI B,"136,500,000,000",7.75,8 Apr 2022,7 Apr 2027
SUKUK IJARAH BERKELANJUTAN I ELNUSA TAHAP I TAHUN 2020,"700,000,000,000",9.0,12 Aug 2020,11 Aug 2025
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP II TAHUN 2015 SERI E,"175,000,000,000",10.4,5 Jun 2015,4 Jun 2025
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP III TAHUN 2015 SERI B,"41,000,000,000",11.2,10 Dec 2015,8 Dec 2025
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP IV TAHUN 2016 SERI D,"54,000,000,000",9.15,5 Sep 2016,2 Sep 2026
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP II TAHUN 2022,"250,000,000,000",10.5,26 Aug 2022,25 Aug 2025
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP III TAHUN 2022 SERI A,"125,000,000,000",10.3,5 Dec 2022,2 Dec 2024
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP III TAHUN 2022 SERI B,"125,000,000,000",10.6,5 Dec 2022,2 Dec 2025
SUKUK IJARAH BERKELANJUTAN I KERETA API INDONESIA TAHAP I TAHUN 2022 SERI A,"117,350,000,000",7.1,8 Aug 2022,5 Aug 2027
SUKUK IJARAH BERKELANJUTAN I KERETA API INDONESIA TAHAP I TAHUN 2022 SERI B,"382,650,000,000",8.0,8 Aug 2022,5 Aug 2029
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP I TAHUN 2019 SERI B,"653,000,000,000",10.5,10 Jul 2019,9 Jul 2024
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP II TAHUN 2020 SERI A,"191,000,000,000",10.5,12 Aug 2020,11 Aug 2023
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP II TAHUN 2020 SERI B,"86,000,000,000",11.25,12 Aug 2020,11 Aug 2025
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI A,"333,365,000,000",10.5,8 Oct 2020,7 Oct 2023
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI B,"56,150,000,000",11.25,8 Oct 2020,7 Oct 2025
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP IV TAHUN 2021 SERI A,"469,100,000,000",10.25,5 May 2021,4 May 2024
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP IV TAHUN 2021 SERI B,"30,900,000,000",11.0,5 May 2021,4 May 2026
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP I TAHUN 2020 SERI B,"125,000,000,000",9.75,4 Mar 2020,3 Mar 2025
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI A,"236,635,000,000",9.45,18 Mar 2021,17 Feb 2024
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI B,"158,250,000,000",10.35,18 Mar 2021,17 Feb 2026
