Nama Sukuk,Nilai Nominal (Billion Rp),Interest/ Disc rate (%),Listing Date,Mature Date,Effective Date (Month)
SUKUK IJARAH BERKELANJUTAN I ANEKA GAS INDUSTRI TAHAP I TAHUN 2017 SERI B,99.0,10.35,2017-06-07,2022-06-06,60
SUKUK IJARAH BERKELANJUTAN I ANEKA GAS INDUSTRI TAHAP III TAHUN 2019,110.0,11.0,2019-03-19,2022-03-19,36
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI A,215.0,6.7,2021-09-09,2024-09-08,36
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI B,215.0,7.1,2021-09-09,2026-09-08,60
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI C,52.0,8.0,2021-09-09,2028-09-08,85
SUKUK IJARAH BERKELANJUTAN I ANGKASA PURA I TAHAP I TAHUN 2021 SERI D,14.0,8.6,2021-09-09,2031-09-08,121
SUKUK IJARAH BERKELANJUTAN I BALI TOWERINDO SENTRA TAHAP I TAHUN 2022 SERI A,200.0,7.75,2022-09-19,2023-09-24,12
SUKUK IJARAH BERKELANJUTAN I BALI TOWERINDO SENTRA TAHAP I TAHUN 2022 SERI B,21.0,9.75,2022-09-19,2025-09-16,36
SUKUK IJARAH BERKELANJUTAN I BALI TOWERINDO SENTRA TAHAP II TAHUN 2023,425.0,7.65,2023-09-12,2024-10-21,13
SUKUK IJARAH BERKELANJUTAN I BUMI SERPONG DAMAI TAHAP I TAHUN 2022 SERI A,63.5,6.75,2022-04-08,2025-04-07,36
SUKUK IJARAH BERKELANJUTAN I BUMI SERPONG DAMAI TAHAP I TAHUN 2022 SERI B,136.5,7.75,2022-04-08,2027-04-07,60
SUKUK IJARAH BERKELANJUTAN I ELNUSA TAHAP I TAHUN 2020,700.0,9.0,2020-08-12,2025-08-11,60
SUKUK IJARAH BERKELANJUTAN I GLOBAL MEDIACOM TAHAP I TAHUN 2017 SERI A,110.74,11.5,2017-06-21,2022-07-07,61
SUKUK IJARAH BERKELANJUTAN I GLOBAL MEDIACOM TAHAP I TAHUN 2017 SERI B,14.0,11.75,2017-06-21,2023-07-07,73
SUKUK IJARAH BERKELANJUTAN I GLOBAL MEDIACOM TAHAP I TAHUN 2017 SERI C,21.55,12.0,2017-06-21,2024-07-07,85
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP I TAHUN 2014 SERI C,110.0,10.5,2014-12-04,2021-12-12,85
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP II TAHUN 2015 SERI D,43.0,10.25,2014-12-04,2022-06-04,91
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP II TAHUN 2015 SERI E,175.0,10.4,2015-06-05,2025-06-04,121
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP III TAHUN 2015 SERI A,65.0,10.6,2014-12-04,2022-12-08,97
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP III TAHUN 2015 SERI B,41.0,11.2,2015-12-10,2025-12-08,121
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP IV TAHUN 2016 SERI C,10.0,8.6,2014-12-04,2021-09-02,82
SUKUK IJARAH BERKELANJUTAN I INDOSAT TAHAP IV TAHUN 2016 SERI D,54.0,9.15,2016-09-05,2026-09-02,121
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP I TAHUN 2021,250.0,10.5,2021-09-03,2022-09-12,12
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP II TAHUN 2022,250.0,10.5,2022-08-25,2025-08-25,36
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP III TAHUN 2022 SERI A,125.0,10.3,2022-12-05,2024-12-02,24
SUKUK IJARAH BERKELANJUTAN I INTILAND DEVELOPMENT TAHAP III TAHUN 2022 SERI B,125.0,10.6,2022-12-05,2025-12-02,36
SUKUK IJARAH BERKELANJUTAN I KERETA API INDONESIA TAHAP I TAHUN 2022 SERI A,117.35,7.1,2022-08-08,2027-08-05,60
SUKUK IJARAH BERKELANJUTAN I KERETA API INDONESIA TAHAP I TAHUN 2022 SERI B,382.65,8.0,2022-08-08,2029-08-05,85
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP I TAHUN 2019 SERI A,347.0,9.9,2019-07-09,2022-07-09,36
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP I TAHUN 2019 SERI B,653.0,10.5,2019-07-10,2024-07-09,60
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP II TAHUN 2020 SERI A,191.0,10.5,2020-08-12,2023-08-11,36
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP II TAHUN 2020 SERI B,86.0,11.25,2020-08-12,2025-08-11,60
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI A,333.365,10.5,2020-10-08,2023-10-07,36
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP III TAHUN 2020 SERI B,56.15,11.25,2020-10-08,2025-10-07,60
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP IV TAHUN 2021 SERI A,469.1,10.25,2021-05-05,2024-05-04,36
SUKUK IJARAH BERKELANJUTAN I MORATELINDO TAHAP IV TAHUN 2021 SERI B,30.9,11.0,2021-05-05,2026-05-04,60
SUKUK IJARAH BERKELANJUTAN I PLN TAHAP II TAHUN 2013 SERI B,108.0,9.6,2013-12-10,2023-12-10,121
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP I TAHUN 2020 SERI A,175.0,9.35,2020-03-04,2023-03-03,36
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP I TAHUN 2020 SERI B,125.0,9.75,2020-03-04,2025-03-03,60
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI A,236.635,9.45,2021-03-18,2024-02-17,35
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI B,158.25,10.35,2021-03-18,2026-02-17,59
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP III TAHUN 2022 SERI A,75.0,7.15,2022-03-04,2025-03-02,36
SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP III TAHUN 2022 SERI B,230.115,8.4,2022-03-04,2027-03-02,60
SUKUK IJARAH BERKELANJUTAN I SAMUDERA INDONESIA TAHAP I TAHUN 2023 SERI A,210.825,6.95,2023-08-03,2024-08-12,12
SUKUK IJARAH BERKELANJUTAN I SAMUDERA INDONESIA TAHAP I TAHUN 2023 SERI B,339.175,9.45,2023-08-03,2028-08-12,61
SUKUK IJARAH BERKELANJUTAN I SPINDO TAHAP I TAHUN 2021 SERI A,99.0,8.175,2021-12-03,2022-12-05,12
SUKUK IJARAH BERKELANJUTAN I SPINDO TAHAP I TAHUN 2021 SERI B,51.0,9.5,2021-12-03,2024-12-02,36
SUKUK IJARAH BERKELANJUTAN I SPINDO TAHAP II TAHUN 2022 SERI A,100.0,7.5,2022-07-28,2023-08-03,12
SUKUK IJARAH BERKELANJUTAN I SPINDO TAHAP II TAHUN 2022 SERI B,50.0,9.5,2022-07-28,2025-07-27,36
SUKUK IJARAH BERKELANJUTAN I TIMAH TAHAP I TAHUN 2017 SERI B,180.0,8.75,2017-09-19,2022-09-28,61
SUKUK IJARAH BERKELANJUTAN I TIMAH TAHAP II TAHUN 2019,313.0,8.75,2019-08-16,2024-08-15,60
SUKUK IJARAH BERKELANJUTAN I XL AXIATA TAHAP I TAHUN 2015 SERI D,425.0,11.0,2015-12-02,2022-12-02,85
SUKUK IJARAH BERKELANJUTAN I XL AXIATA TAHAP II TAHUN 2017 SERI C,142.0,8.75,2017-05-02,2023-04-28,72
SUKUK IJARAH BERKELANJUTAN I XL AXIATA TAHAP II TAHUN 2017 SERI D,260.0,9.1,2017-05-02,2024-04-28,85
SUKUK IJARAH BERKELANJUTAN I XL AXIATA TAHAP II TAHUN 2017 SERI E,336.0,9.4,2017-05-02,2027-04-28,121
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP I TAHUN 2020,5.0,10.55,2020-08-18,2025-08-14,60
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP II TAHUN 2020,205.0,9.25,2020-08-05,2021-10-12,14
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI A,15.0,7.5,2021-07-07,2022-07-16,12
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI B,105.0,9.35,2021-07-07,2024-07-06,36
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP III TAHUN 2021 SERI C,124.0,10.75,2021-07-07,2028-07-06,85
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI A,133.0,8.1,2021-12-23,2024-12-22,36
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP IV TAHUN 2021 SERI B,17.0,9.15,2021-12-23,2026-12-22,60
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI A,118.8,7.75,2022-04-06,2025-04-05,36
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI B,123.7,8.9,2022-04-06,2027-04-05,60
SUKUK IJARAH BERKELANJUTAN II ANEKA GAS INDUSTRI TAHAP V TAHUN 2022 SERI C,153.5,9.75,2022-04-06,2029-04-05,85
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP I TAHUN 2020 SERI A,201.51,10.75,2020-08-31,2021-09-21,12
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP I TAHUN 2020 SERI B,1.6,11.25,2020-09-14,2023-09-11,36
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP II TAHUN 2021 SERI A,293.45,9.3,2021-09-15,2022-09-13,12
SUKUK IJARAH BERKELANJUTAN II GLOBAL MEDIACOM TAHAP II TAHUN 2021 SERI C,0.05,11.0,2021-09-15,2026-09-14,60
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP I TAHUN 2017 SERI C,60.0,8.9,2017-06-02,2024-05-31,85
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP II TAHUN 2017 SERI C,14.0,7.65,2017-11-10,2022-11-09,60
SUKUK IJARAH BERKELANJUTAN II INDOSAT TAHAP II TAHUN 2017 SERI E,193.0,8.65,2017-11-10,2027-11-09,121
SUKUK IJARAH BERKELANJUTAN II MORATELINDO TAHAP I TAHUN 2023 SERI A,462.6,10.0,2023-07-14,2026-07-13,36
SUKUK IJARAH BERKELANJUTAN II MORATELINDO TAHAP I TAHUN 2023 SERI B,25.9,11.0,2023-07-14,2028-07-13,60
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP I TAHUN 2017 SERI A,186.0,7.7,2017-07-11,2022-07-11,60
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP I TAHUN 2017 SERI B,214.0,8.5,2017-07-12,2027-07-11,121
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP II TAHUN 2017 SERI A,83.5,7.2,2017-06-21,2022-11-03,65
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP II TAHUN 2017 SERI B,121.0,8.2,2017-11-06,2027-11-03,121
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP II TAHUN 2017 SERI C,490.0,8.7,2017-11-06,2032-11-03,182
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI A,104.0,6.5,2018-02-23,2022-02-22,48
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI B,88.0,7.25,2018-02-23,2028-02-22,121
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI C,57.5,8.2,2018-02-23,2033-02-22,182
SUKUK IJARAH BERKELANJUTAN II PLN TAHAP III TAHUN 2018 SERI D,449.0,8.75,2018-02-23,2038-02-22,243
